depth,temp,salinity,oxygen,oxygensat,silicate,nitrate,chloro,pressure,phosphate,phaeo,potden,volanol,dynamicheight,ammonium,darkas
50.0,13.78,33.321,5.88,99.8,3.0,2.3,0.6,50,0.47,0.24,24.937,302.2,0.152,0.08,0.03
66.0,13.3,33.418,5.82,97.8,4.4,4.4,0.35,66,0.59,0.21,25.11,286.1,0.199,0.23,0.05
0.0,15.69,33.346,5.78,102.0,1.6,0.1,0.19,0,0.31,0.06,24.546,338.0,0.0,0.01,0.13
1.0,15.69,33.346,5.78,102.0,1.6,0.1,0.19,1,0.31,0.06,24.546,338.0,0.003,0.01,0.13
18.0,15.69,33.347,5.73,101.1,1.5,0.1,0.19,18,0.29,0.06,24.547,338.4,0.061,0.01,0.03
20.0,15.69,33.345,5.73,101.1,1.5,0.1,0.19,20,0.29,0.06,24.546,338.6,0.068,0.01,0.03
30.0,15.69,33.345,5.73,101.1,1.5,0.1,0.2,30,0.29,0.06,24.546,338.9,0.102,0.01,0.04
41.0,15.68,33.343,5.73,101.1,1.5,0.2,0.22,41,0.29,0.08,24.547,339.2,0.139,0.01,0.04
59.0,15.46,33.313,5.75,101.0,1.5,0.2,0.28,59,0.3,0.1,24.574,337.2,0.2,0.03,0.02
75.0,15.35,33.301,5.76,100.9,1.3,0.3,0.27,75,0.31,0.12,24.589,336.2,0.254,0.05,0.02
79.0,15.29,33.292,5.76,100.8,1.3,0.3,0.28,79,0.31,0.13,24.596,335.7,0.267,0.06,0.02
100.0,14.78,33.303,5.75,99.6,1.4,1.0,0.16,100,0.37,0.09,24.715,324.9,0.336,0.17,0.02
115.0,14.23,33.268,5.7,97.6,2.1,1.9,0.12,115,0.43,0.1,24.805,316.6,0.385,0.09,0.02
0.0,10.83,33.764,3.94,63.0,20.4,19.5,0.57,0,1.62,0.28,25.844,214.5,0.0,0.26,0.07
2.0,10.83,33.764,3.94,63.0,20.4,19.5,0.57,2,1.62,0.28,25.844,214.6,0.004,0.26,0.07
9.0,10.85,33.763,3.92,62.7,20.1,18.9,0.57,9,1.61,0.27,25.84,215.1,0.019,0.25,0.07
10.0,10.84,33.761,3.94,63.0,20.2,19.3,0.54,10,1.61,0.23,25.84,215.1,0.021,0.25,0.07
20.0,10.58,33.799,3.64,57.9,22.2,20.8,0.52,20,1.73,0.28,25.915,208.2,0.043,0.22,0.07
22.0,10.55,33.809,3.59,57.1,22.6,21.1,0.5,22,1.75,0.28,25.928,207.0,0.047,0.21,0.07
30.0,10.17,33.865,3.39,53.5,24.0,21.8,0.43,30,1.8,0.28,26.038,196.8,0.063,0.19,0.06
35.0,10.09,33.88,2.99,47.1,26.3,23.3,0.33,35,1.92,0.3,26.063,194.5,0.073,0.14,0.05
44.0,9.89,33.912,2.73,42.8,27.9,24.7,0.3,44,2.0,0.27,26.122,189.0,0.09,0.11,0.04
50.0,9.75,33.932,2.59,40.5,28.6,25.1,0.29,50,2.04,0.31,26.161,185.4,0.101,0.09,0.04
61.0,9.64,33.965,2.36,36.8,30.6,26.3,0.21,61,2.11,0.3,26.205,181.5,0.122,0.06,0.03
0.0,12.31,32.973,6.29,103.3,6.7,4.0,0.64,0,0.62,0.2,24.957,298.9,0.0,0.09,0.11
2.0,12.31,32.973,6.29,103.3,6.7,4.0,0.64,2,0.62,0.2,24.957,298.9,0.006,0.09,0.11
10.0,12.31,32.973,6.29,103.3,6.7,3.9,0.79,10,0.63,0.14,24.957,299.1,0.03,0.11,0.11
20.0,12.13,33.007,6.28,102.8,6.9,4.1,0.72,20,0.63,0.22,25.018,293.6,0.059,0.11,0.14
21.0,12.14,33.003,6.28,102.8,6.9,4.1,0.71,21,0.63,0.23,25.013,294.0,0.062,0.11,0.14
30.0,11.93,33.132,6.2,101.1,8.1,5.6,0.81,30,0.71,0.36,25.153,281.0,0.088,0.21,0.12
32.0,11.9,33.166,6.17,100.6,8.4,6.0,0.84,32,0.74,0.38,25.185,278.0,0.094,0.23,0.12
41.0,11.45,33.205,5.98,96.6,9.7,7.8,0.85,41,0.85,0.37,25.298,267.4,0.118,0.2,0.07
50.0,11.46,33.276,5.85,94.5,10.2,8.8,0.53,50,0.9,0.33,25.352,262.5,0.142,0.19,0.04
57.0,10.57,33.182,5.25,83.2,10.8,11.7,0.06,57,1.07,0.09,25.437,254.5,0.16,0.0,0.02
0.0,12.61,33.687,6.01,99.8,3.2,6.0,2.07,0,0.67,0.57,25.453,251.7,0.0,0.82,0.25
1.0,12.61,33.687,6.01,99.8,3.2,6.0,2.07,1,0.67,0.57,25.453,251.7,0.003,0.82,0.25
6.0,12.53,33.686,6.0,99.4,3.1,6.1,1.97,6,0.64,0.58,25.468,250.4,0.015,1.01,0.31
10.0,12.52,33.681,5.99,99.3,3.1,6.2,2.21,10,0.65,0.66,25.466,250.7,0.025,0.84,0.28
14.0,12.41,33.684,5.94,98.2,3.0,6.5,2.35,14,0.64,0.57,25.49,248.5,0.035,0.65,0.25
20.0,12.32,33.689,5.17,85.3,7.6,10.1,2.28,20,0.94,0.66,25.511,246.7,0.05,0.93,0.16
22.0,11.88,33.728,4.74,77.5,10.5,12.3,2.26,22,1.12,0.69,25.625,235.9,0.055,1.02,0.13
27.0,10.59,33.797,3.43,54.6,20.4,20.0,0.74,27,1.67,0.73,25.912,208.6,0.066,0.68,0.06
30.0,10.22,33.817,3.25,51.3,21.8,21.1,0.64,30,1.74,0.65,25.992,201.1,0.072,0.51,0.06
38.0,9.99,33.869,2.77,43.5,25.6,24.0,0.36,38,1.93,0.43,26.072,193.7,0.088,0.19,0.05
0.0,12.18,33.154,6.21,101.8,6.7,4.9,0.68,0,0.68,0.22,25.122,283.1,0.0,0.76,0.11
1.0,12.18,33.154,6.21,101.8,6.7,4.9,0.68,1,0.68,0.22,25.122,283.2,0.003,0.76,0.11
7.0,12.07,33.141,6.16,100.8,6.8,5.2,0.61,7,0.71,0.21,25.133,282.3,0.02,0.71,0.1
17.0,11.75,33.146,6.01,97.6,7.7,6.0,0.45,17,0.75,0.19,25.197,276.4,0.048,0.63,0.07
20.0,11.8,33.169,6.03,98.1,7.9,6.0,0.45,20,0.75,0.19,25.206,275.7,0.056,0.74,0.07
27.0,11.91,33.226,6.08,99.2,8.2,6.1,0.45,27,0.76,0.2,25.229,273.6,0.075,0.95,0.06
